,Temperature,Humidity,doorOpened,isCloudy,isRaining
861,22.893992464825438,0.5521077544529318,False,False,False
862,22.9053933127991,0.5521454287435197,False,False,False
863,22.936564916365676,0.5535594161594966,True,False,False
864,22.930061570631015,0.5544923688680292,False,True,False
865,22.897369221110328,0.5550510940429142,False,True,False
866,22.846410466388587,0.5553188679489158,False,True,False
867,22.782650223499235,0.555360623699066,False,True,False
868,22.70985991810346,0.5552269908739803,False,True,False
869,22.63064557142823,0.5549574424478337,False,True,False
870,22.54681206313629,0.5545827493891315,False,True,False
871,22.45961434928305,0.5541268952478386,False,True,False
872,22.369930673361257,0.5536085695318798,False,True,False
873,22.306281947055975,0.5548023325393673,True,True,False
874,22.231727982998127,0.5555547239263081,False,True,False
875,22.14956186072903,0.5559638033879996,False,True,False
876,22.062076917059763,0.5561060386291169,False,True,False
877,21.97087870270024,0.5560410557565951,False,True,False
878,21.877100075745208,0.5558153445845258,False,True,False
879,21.809449456797854,0.5572251487704437,True,True,False
880,21.731126963314285,0.5581339201201121,False,True,False
881,21.645532488791627,0.5586529089437503,False,True,False
882,21.555042139273272,0.5588688707724048,False,True,False
883,21.461326694773252,0.5588494553728431,False,True,False
884,21.365571180985803,0.5586474101775385,False,True,False
885,21.268626207275616,0.5583038589584374,False,True,False
886,21.171112224077888,0.5578508591908974,False,True,False
887,21.073491295855288,0.5573133967959718,False,True,False
888,20.976116461435502,0.5567109420378216,False,True,False
889,20.907165631762247,0.5578186631221422,True,True,False
890,20.829478821048358,0.5584835728013967,False,True,False
891,20.746211791018418,0.5588040987253746,False,True,False
892,20.68747494036885,0.5606169945531193,True,True,False
893,20.617439876543077,0.5618173083963371,False,True,False
894,20.54017891605896,0.5625409342036032,False,True,False
895,20.45853222698948,0.5628938480784035,False,True,False
896,20.374488908862645,0.5629586903831857,False,True,False
897,20.289449808302393,0.5627998997787389,False,True,False
898,20.204408738194562,0.5624677177731441,False,True,False
899,20.12007740147308,0.5620013122682121,False,True,False
900,20.036971477584494,0.5614312139239751,False,True,False
901,19.955469917971758,0.5607812165212794,False,True,False
902,19.87585576280985,0.560069859242914,False,True,False
903,19.79834421466787,0.559311582851213,False,True,False
904,19.723101926922567,0.5585176315049267,False,True,False
905,19.650260238007213,0.5576967561747357,False,True,False
906,19.60782423610311,0.5586157633057253,True,True,False
907,19.558492954786068,0.5591151427725052,False,True,False
908,19.533201367088854,0.5610482336826067,True,True,False
909,19.496665345308603,0.5623230199415548,False,True,False
910,19.453306644569633,0.5630854845696603,False,True,False
911,19.434079141120836,0.5652094723073949,True,True,False
912,19.403704803840757,0.5666189602234771,False,True,False
913,19.36660261329518,0.5674724047873139,False,True,False
914,19.32581753949026,0.567893378823659,False,True,False
915,19.283444427430425,0.5679782461130183,False,True,False
916,19.240920490485937,0.5678021475779798,False,True,False
917,19.2271271510416,0.5691836705065851,True,True,False
918,19.233243338506934,0.571763690544614,True,True,False
919,19.225293410464662,0.5735022444476372,False,True,False
920,19.208579397841117,0.5745859130657127,False,True,False
921,19.186740216682548,0.5751602040871582,False,True,False
922,19.19016546639644,0.5770985883542495,True,True,False
923,19.18316401271434,0.5783247481872633,False,True,False
924,19.16984648848215,0.5789969070750517,False,True,False
925,19.15302232051287,0.5792384530715327,False,True,False
926,19.162501644357185,0.5809056028204173,True,True,False
927,19.162186710553314,0.5819085794922065,False,True,False
928,19.183801155052358,0.5841551075727809,True,True,False
929,19.192564317306218,0.5855955850362556,False,True,False
930,19.22110561473646,0.5881690714151857,True,True,False
931,19.23526659012535,0.5898504047329491,False,True,False
932,19.240203426029804,0.5908377064862536,False,True,False
933,19.23943581465302,0.591285481768987,False,True,False
934,19.23535367486342,0.5913142151439411,False,True,False
935,19.257466899417324,0.5927778554201245,True,True,False
936,19.269460794853114,0.5935848537764623,False,True,False
937,19.275000560717103,0.593881549495703,False,True,False
938,19.276574523572183,0.593782057074314,False,True,False
939,19.275858971504377,0.5933753559432704,False,True,False
940,19.273970006450742,0.5927308204475952,False,True,False
941,19.2716374384572,0.5919025332277468,False,True,False
942,19.297224888062765,0.5926926496544778,True,True,False
943,19.31362677105235,0.592969222085426,False,True,False
944,19.32396344037862,0.5928470787826828,False,True,False
945,19.330348971146673,0.5924157557059497,False,True,False
946,19.362103926017877,0.5935050610862792,True,True,False
947,19.382785267634528,0.59400461579092,False,True,False
948,19.39597320923114,0.5940460708052518,False,True,False
949,19.404102265663074,0.5937320831060745,False,True,False
950,19.43671765793136,0.5949026946177813,True,True,False
951,19.457535320708587,0.5954555077954313,False,True,False
952,19.470249501294514,0.59552839857683,False,True,False
953,19.477378108407677,0.5952288787224647,False,True,False
954,19.4806289623213,0.5946407762155914,False,True,False
955,19.48115257483739,0.5938294459714931,False,True,False
956,19.479716629106456,0.5928458341879181,False,True,False
957,19.476826426368554,0.591729648535667,False,True,False
958,19.47280804369031,0.5905118309045232,False,True,False
959,19.49576575592499,0.5909764861423784,True,True,False
960,19.508435693461003,0.5909775864690788,False,True,False
961,19.513851006001925,0.5906189769165768,False,True,False
962,19.5419888754328,0.5917416258096315,True,True,False
963,19.58478285689154,0.5940038579157597,True,True,False
964,19.60878051279833,0.5953793122994555,False,True,False
965,19.619651318782005,0.5960651716857644,False,True,False
966,19.649198026157126,0.597975205378782,True,True,False
967,19.66272037509813,0.5990645205128455,False,True,False
968,19.665032146330297,0.5995158440254764,False,True,False
969,19.659450926292777,0.5994716688333206,False,True,False
970,19.676163897078037,0.6008031056240546,True,True,False
971,19.679363190283105,0.6014319872509997,False,True,False
972,19.70100534350876,0.6032750861578782,True,True,False
973,19.70650629809334,0.604289850207112,False,True,False
974,19.70076988338705,0.6046608304005128,False,True,False
975,19.687185430956674,0.6045319407382928,False,True,False
976,19.668098941982876,0.6040153986835965,False,True,False
977,19.645138114372422,0.6031986987215934,False,True,False
978,19.619436527951102,0.6021500517323606,False,True,False
979,19.591788243896527,0.6009226276985549,False,True,False
980,19.590654385466102,0.6013178650142507,True,True,False
981,19.579050581611405,0.6012032517427198,False,True,False
982,19.56023531211637,0.600693170994417,False,True,False
983,19.53647278797397,0.5998768065587557,False,True,False
984,19.537242117132408,0.600583687071473,True,True,False
985,19.554164517807106,0.6024632104620055,True,True,False
986,19.581502092264675,0.605242049019308,True,True,False
987,19.587439002087013,0.6069471475800867,False,True,False
